DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Grain_Canon,Unit_Canon,Cur_Canon,Place_Canon,QtyNum,PriceNum,UnitPrice_raw,Year,YearBin,Context_Clean,Context_OneLine,Tier,Price_DrachmaEq,Qty_Liters,Price_per_Liter_DrachmaEq,Price_per_Artaba_DrachmaEq,log_Price_per_Liter
basp;50;89,1,1,1,yes,ab,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,πυρο,,,40.0,δραχμασ,13.86,74,-1,74,0,no,no,,,,"αὐ τοῦ διὰ μέτρου χ ρ ῆσι ν πυρο ῦ
ἐνεστ ῶ τος ἔτους ἐπὶ κώμη ς Σεθρενπ άει . ὑπ ογ ρα φε ῖς τοῦ μὲ ν Ὥρου Ἁρ π ο κρ ατί ων Ἡρακλεί δ ου ὡς ἐτῶν 20 , τ ο ῦ δὲ Σα ν σ νέ ως ὁ πρ ο γεγραμμένος
Φιλίπ π ωι Φι λ ίππου ὡς ἐτῶν 54 οὐλ ὴ ὀφρύ ι δεξι ᾶι ἔχειν ἔχιν παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ",wheat (pyros),,drachma,Arsinoite,,40.0,,138.0,125.0,"αὐ τοῦ διὰ μέτρου χ ρ ῆσι ν πυρο ῦ
ἐνεστ ῶ τος ἔτους ἐπὶ κώμη ς Σεθρενπ άει . ὑπ ογ ρα φε ῖς τοῦ μὲ ν Ὥρου Ἁρ π ο κρ ατί ων Ἡρακλεί δ ου ὡς ἐτῶν 20 , τ ο ῦ δὲ Σα ν σ νέ ως ὁ πρ ο γεγραμμένος
Φιλίπ π ωι Φι λ ίππου ὡς ἐτῶν 54 οὐλ ὴ ὀφρύ ι δεξι ᾶι ἔχειν ἔχιν παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ","αὐ τοῦ διὰ μέτρου χ ρ ῆσι ν πυρο ῦ ἐνεστ ῶ τος ἔτους ἐπὶ κώμη ς Σεθρενπ άει . ὑπ ογ ρα φε ῖς τοῦ μὲ ν Ὥρου Ἁρ π ο κρ ατί ων Ἡρακλεί δ ου ὡς ἐτῶν 20 , τ ο ῦ δὲ Σα ν σ νέ ως ὁ πρ ο γεγραμμένος Φιλίπ π ωι Φι λ ίππου ὡς ἐτῶν 54 οὐλ ὴ ὀφρύ ι δεξι ᾶι ἔχειν ἔχιν παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ",C,40.0,,,,
basp;50;89,1,2,1,yes,ab,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,πυρου,,,40.0,δραχμασ,40.44,10,-1,10,0,no,no,,,,"παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ ν πυροῦ νέου καθαρο ῦ ἀδ όλου ἀρταβῶν
Μαρωνὶς",wheat (pyros),,drachma,Arsinoite,,40.0,,138.0,125.0,"παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ ν πυροῦ νέου καθαρο ῦ ἀδ όλου ἀρταβῶν
Μαρωνὶς",παρ’ αὐ τοῦ διὰ χειρὸ ς ἀργυ ρίου δραχμὰς 40 χρῆσι ν ἔντοκο ν κ αὶ τειμὴ ν πυροῦ νέου καθαρο ῦ ἀδ όλου ἀρταβῶν Μαρωνὶς,C,40.0,,,,
basp;50;89,1,3,1,yes,ab,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,πυρου,5.0,αρταβασ,60.0,δραχμασ,67.73,3,5,8,0,no,yes,66.73,5 μετρω,60 δραχμασ,ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ,wheat (pyros),artaba,drachma,Arsinoite,5.0,60.0,12.0,138.0,125.0,ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ,ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ,B,60.0,194.0,0.30927835051546393,12.0,-0.5096504795465824
basp;50;89,1,4,1,yes,ab,Schedule of Contracts from the Writing Office of Polydeukeia and Sethrenpai,Theadelphia (Arsinoites),spätes I - II,,0076,0200,πυρου,20.0,αρταβασ,60.0,δραχμασ,25.18,42,5,47,0,no,no,,,,"ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ ος ἀποδοῦναι μηνὶ Σωτηρείωι τοῦ ἐνεστῶτος ἔτους
Ἡρακλείδηι Ἡρα κ λείδου ὡς ἐτῶν 50 ἀσή μωι ἔχειν ἔχιν παρ’ αὐτοῦ διὰ μέτρο υ χρῆσιν πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 20 4 μέ τρωι δρό μωι τετρα χ",wheat (pyros),artaba,drachma,Arsinoite,20.0,60.0,3.0,138.0,125.0,"ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ ος ἀποδοῦναι μηνὶ Σωτηρείωι τοῦ ἐνεστῶτος ἔτους
Ἡρακλείδηι Ἡρα κ λείδου ὡς ἐτῶν 50 ἀσή μωι ἔχειν ἔχιν παρ’ αὐτοῦ διὰ μέτρο υ χρῆσιν πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 20 4 μέ τρωι δρό μωι τετρα χ",ἔχιν παρ’ αὐτῆ ς χρῆσιν ἀργυ ρίου δραχμὰς 60 καὶ πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 5 μέτρω ι δρό μωι ἑξαχοινίκωι τῆς Μαρωνίδ ος ἀποδοῦναι μηνὶ Σωτηρείωι τοῦ ἐνεστῶτος ἔτους Ἡρακλείδηι Ἡρα κ λείδου ὡς ἐτῶν 50 ἀσή μωι ἔχειν ἔχιν παρ’ αὐτοῦ διὰ μέτρο υ χρῆσιν πυροῦ καθαρο ῦ ἀδόλ ου ἀρτάβας 20 4 μέ τρωι δρό μωι τετρα χ,C,60.0,776.0,0.07731958762886598,3.0,-1.1117104708745449
bgu;13;2330,1,1,1,yes,ab,Sale with Advance Payment (?),Soknopaiu Nesos (Arsinoites),27. Apr. 89,0089-04-27,,,πυρου,,,60.0,δραχμασ,53.53,7,-1,7,0,yes,no,,,,"Σεβαστ οῦ νομίσ
ματ ος κε φαλαίου δραχμὰς 60 καὶ τιμήν καί τιμὴν
πυροῦ νέου καθαροῦ ἀδόλου ἀρταβ ἀρτάβ ας ἕξ ἀρταβ",wheat (pyros),,drachma,Arsinoite,,60.0,,89.0,75.0,"Σεβαστ οῦ νομίσ
ματ ος κε φαλαίου δραχμὰς 60 καὶ τιμήν καί τιμὴν
πυροῦ νέου καθαροῦ ἀδόλου ἀρταβ ἀρτάβ ας ἕξ ἀρταβ",Σεβαστ οῦ νομίσ ματ ος κε φαλαίου δραχμὰς 60 καὶ τιμήν καί τιμὴν πυροῦ νέου καθαροῦ ἀδόλου ἀρταβ ἀρτάβ ας ἕξ ἀρταβ,C,60.0,,,,
bgu;16;2670,1,1,1,yes,ab,Official Account,Herakleopolites,ca. 14 - 13 v.Chr.,,-0014,-0013,κριθ,,,4.0,δραχμαι,39.46,3,-1,3,0,no,no,,,,δραχμαὶ 60 · καὶ λ α χ άνου κριθ ῆ ς δραχμαὶ 4 ἄ λ λαι 4 γίνονται 8,barley (krithē),,drachma,Herakleopolite,,4.0,,-13.5,-25.0,δραχμαὶ 60 · καὶ λ α χ άνου κριθ ῆ ς δραχμαὶ 4 ἄ λ λαι 4 γίνονται 8,δραχμαὶ 60 · καὶ λ α χ άνου κριθ ῆ ς δραχμαὶ 4 ἄ λ λαι 4 γίνονται 8,C,4.0,,,,
bgu;16;2670,2,1,1,yes,ab,Official Account,Herakleopolites,ca. 14 - 13 v.Chr.,,-0014,-0013,σιτολογ,35.0,αρταβαι,200.0,δραχμαι,49.7,2,18,20,0,no,yes,45.71,,200 δραχμαι,"Θμοιαμούνεως· παρὰ τῶν ἐκ τοῦ
vestiges λαχάνου ἀρτάβαι 35 . δραχμαὶ 240
Ἀπολλωνίου δραχμαὶ 80
Κ ἥμισεως δραχμαὶ 400
vestiges λλίπου Διομήδους σιτολόγ ου δραχμαὶ 200
vestiges λ ινυφων 110
vestiges",grain (sitos),artaba,drachma,Herakleopolite,35.0,200.0,5.714285714285714,-13.5,-25.0,"Θμοιαμούνεως· παρὰ τῶν ἐκ τοῦ
vestiges λαχάνου ἀρτάβαι 35 . δραχμαὶ 240
Ἀπολλωνίου δραχμαὶ 80
Κ ἥμισεως δραχμαὶ 400
vestiges λλίπου Διομήδους σιτολόγ ου δραχμαὶ 200
vestiges λ ινυφων 110
vestiges",Θμοιαμούνεως· παρὰ τῶν ἐκ τοῦ vestiges λαχάνου ἀρτάβαι 35 . δραχμαὶ 240 Ἀπολλωνίου δραχμαὶ 80 Κ ἥμισεως δραχμαὶ 400 vestiges λλίπου Διομήδους σιτολόγ ου δραχμαὶ 200 vestiges λ ινυφων 110 vestiges,C,200.0,1358.0,0.14727540500736377,5.714285714285714,-0.8318697742805017
bgu;1;14,1,1,1,yes,ab,keiner,Memphites,17. Aug. 255,0255-08-17,,,πυρου,100.0,αρταβαι,36.0,δραχμι,58.21,4,1,5,0,no,yes,55.44,100 αρταβαι,12 δραχμι,"οῦς κεράμια 3 ἐκ ἑκ άστου δραχμῶν 12 δραχμὶ 36 .
πυροῦ ἀρτάβαι 100 ἐκ ἑκ άστησ δραχμῶν 16 δραχμαὶ 1600",wheat (pyros),artaba,drachma,Memphite,100.0,36.0,0.36,255.0,250.0,"οῦς κεράμια 3 ἐκ ἑκ άστου δραχμῶν 12 δραχμὶ 36 .
πυροῦ ἀρτάβαι 100 ἐκ ἑκ άστησ δραχμῶν 16 δραχμαὶ 1600",οῦς κεράμια 3 ἐκ ἑκ άστου δραχμῶν 12 δραχμὶ 36 . πυροῦ ἀρτάβαι 100 ἐκ ἑκ άστησ δραχμῶν 16 δραχμαὶ 1600,C,36.0,3879.9999999999995,0.00927835051546392,0.36000000000000004,-2.03252922482692
bgu;20;2840,1,6,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,σιτωνιου,1406.0,αρταβων,10.0,ταλαντα,49.1,3,8,8,0,no,yes,41.55,517 αρταβων,10 ταλαντα,"συναγόμενα ὀψωνίου ἀνταξ ιο υμέ νου
καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν",grain (sitos),artaba,talent,Herakleopolite,1406.0,10.0,0.007112375533428165,-200.0,-200.0,"συναγόμενα ὀψωνίου ἀνταξ ιο υμέ νου
καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν",συναγόμενα ὀψωνίου ἀνταξ ιο υμέ νου καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν,C,60000.0,54552.799999999996,1.099851886612603,42.67425320056899,0.04133420410563131
bgu;20;2840,1,7,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,1406.0,αρταβων,10.0,ταλαντα,52.21,4,1,5,0,no,no,,,,"ιο υμέ νου
καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν",wheat (pyros),artaba,talent,Herakleopolite,1406.0,10.0,0.007112375533428165,-200.0,-200.0,"ιο υμέ νου
καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν",ιο υμέ νου καὶ σιτωνίου χα λκοῦ τάλαντα 10 3961 1/2 πυροῦ ἀρταβῶν 1406 ἀντ α ναιρο υμένων δὲ ν,C,60000.0,54552.799999999996,1.099851886612603,42.67425320056899,0.04133420410563131
